Date,Air Temperature,Relative Humidity (x100%),Precipitation (mm),Radiation (W/m²),River Discharge (m³/s)
15/06/1994,12.891,0.754,0.562,636.448,43.954
15/07/1994,16.856,0.748,0.431,732.914,17.699
15/08/1994,15.217,0.788,0.727,576.299,26.759
15/09/1994,10.996,0.822,0.582,403.29,36.086
15/10/1994,6.314,0.775,0.352,307.807,19.695
15/11/1994,5.562,0.781,0.462,155.931,34.203
15/12/1994,-0.057,0.798,0.66,104.498,33.72
15/01/1995,-4.088,0.798,0.869,126.405,40.074
15/02/1995,1.199,0.78,0.586,203.806,38.901
15/03/1995,-0.944,0.751,0.665,384.794,34.426
15/04/1995,5.086,0.771,0.64,429.723,70.001
15/05/1995,8.416,0.769,0.586,586.769,66.813
15/06/1995,9.953,0.826,0.896,507.674,81.358
15/07/1995,16.58,0.77,0.475,676.807,25.6
15/08/1995,13.03,0.828,1.286,474.055,54.063
15/09/1995,8.739,0.81,0.468,381.637,49.239
15/10/1995,10.279,0.772,0.07,348.831,21.9
15/11/1995,0.543,0.782,0.614,164.695,29.068
15/12/1995,-3.246,0.815,0.606,104.302,32.156
15/01/1996,-2.644,0.774,0.037,152.06,21.75
15/02/1996,-4.562,0.78,0.315,235.93,14.551
15/03/1996,-2.119,0.766,0.357,409.736,19.068
15/04/1996,5.276,0.735,0.264,519.282,35.469
15/05/1996,8.422,0.809,0.77,539.329,41.358
15/06/1996,12.68,0.778,0.604,634.393,31.209
15/07/1996,12.964,0.764,0.753,655.066,49.561
15/08/1996,12.9,0.833,0.668,508.647,29.781
15/09/1996,7.315,0.831,0.616,358.585,40.382
15/10/1996,6.604,0.783,0.626,250.963,42.408
15/11/1996,2.055,0.766,0.842,152.265,42.644
15/12/1996,-3.976,0.803,0.276,115.161,23.241
15/01/1997,-3.278,0.764,0.015,144.396,14.644
15/02/1997,0.425,0.697,0.551,246.512,23.777
15/03/1997,3.361,0.756,0.456,353.581,37.515
15/04/1997,3.046,0.713,0.723,553.673,43.165
15/05/1997,8.938,0.707,0.323,686.83,49.166
15/06/1997,11.787,0.797,0.682,553.335,29.574
15/07/1997,12.784,0.802,1.15,548.616,76.86
15/08/1997,14.871,0.781,0.509,584.877,27.939
15/09/1997,11.956,0.777,0.228,517.857,21.667
15/10/1997,6.035,0.759,0.605,287.793,33.988
15/11/1997,2.53,0.754,0.15,168.564,15.426
15/12/1997,-0.366,0.806,0.676,92.25,34.774
15/01/1998,-1.419,0.748,0.411,155.217,27.521
15/02/1998,0.166,0.7,0.082,303.773,16.754
15/03/1998,0.654,0.763,0.553,347.978,25.457
15/04/1998,5.367,0.739,0.372,512.879,30.553
15/05/1998,9.586,0.734,0.291,645.211,25.059
15/06/1998,13.102,0.743,0.766,657.765,30.346
15/07/1998,14.452,0.782,0.668,568.772,29.624
15/08/1998,14.381,0.769,0.47,572.299,22.552
15/09/1998,10.068,0.831,0.892,359.37,56.467
15/10/1998,6.956,0.797,0.958,210.087,58.119
15/11/1998,-1.49,0.805,0.744,158.23,67.157
15/12/1998,-2.373,0.765,0.362,121.224,27.297
15/01/1999,-1.34,0.742,0.495,155.623,21.701
15/02/1999,-4.542,0.849,1.435,200.088,36.6
15/03/1999,1.629,0.768,0.362,401.199,41.926
15/04/1999,4.983,0.801,0.62,483.185,68.175
15/05/1999,10.612,0.797,1.56,557.834,170.169
15/06/1999,10.95,0.813,0.867,593.178,74.096
15/07/1999,14.585,0.796,0.556,603.433,38.67
15/08/1999,13.734,0.825,0.544,505.875,29.337
15/09/1999,13.217,0.804,0.57,465.067,23.711
15/10/1999,7.244,0.786,0.269,289.166,34.83
15/11/1999,-1.015,0.796,0.528,154.548,19.338
15/12/1999,-1.911,0.777,0.86,100.987,35.225
15/01/2000,-4.136,0.781,0.411,148.616,22.754
15/02/2000,-0.144,0.784,0.77,216.248,33.505
15/03/2000,1.185,0.787,0.912,343.7,45.355
15/04/2000,6.438,0.71,0.225,526.278,65.764
15/05/2000,10.536,0.768,0.809,613.766,81.761
15/06/2000,13.698,0.74,0.436,710.098,44.625
15/07/2000,11.847,0.808,1.3,551.853,68.649
15/08/2000,14.946,0.771,0.802,589.634,63.66
15/09/2000,11.252,0.801,0.714,440.614,47.8
15/10/2000,7.728,0.799,0.418,211.261,27.165
15/11/2000,3.192,0.762,0.394,168.465,24.388
15/12/2000,1.348,0.74,0.184,109.176,19.207
15/01/2001,-1.803,0.778,0.309,136.21,17.252
15/02/2001,-0.681,0.748,0.67,233.825,23.842
15/03/2001,3.18,0.813,0.954,297.722,70.475
15/04/2001,3.104,0.792,0.865,458.496,62.945
15/05/2001,11.141,0.741,0.322,669.852,52.452
15/06/2001,10.773,0.766,1.221,631.732,74.382
15/07/2001,14.604,0.758,0.5,663.378,32.022
15/08/2001,15.126,0.788,0.521,606.218,21.706
15/09/2001,7.834,0.848,1.09,299.653,68.765
15/10/2001,10.422,0.756,0.219,345.625,21.571
15/11/2001,-0.068,0.814,0.663,162.99,27.963
15/12/2001,-4.604,0.803,0.626,107.524,42.23
15/01/2002,-3.356,0.724,0.135,169.61,22.391
15/02/2002,1.606,0.775,0.73,194.236,26.481
15/03/2002,2.944,0.725,0.685,439.713,65.159
15/04/2002,4.831,0.751,0.422,509.413,36.915
15/05/2002,9.522,0.778,0.536,575.382,41.731
15/06/2002,14.882,0.753,0.609,718.646,32.725
15/07/2002,14.201,0.804,0.776,617.677,36.807
15/08/2002,13.43,0.851,1.276,520.362,90.34
15/09/2002,8.957,0.862,0.933,388.963,68.341
15/10/2002,6.993,0.781,0.585,260.973,51.817
15/11/2002,4.123,0.816,1.008,143.295,76.643
15/12/2002,0.469,0.849,0.459,102.159,34.308
15/01/2003,-3.172,0.809,0.546,135.136,41.211
15/02/2003,-6.34,0.779,0.332,299.848,19.443
15/03/2003,2.445,0.697,0.195,482.329,29.876
15/04/2003,5.08,0.717,0.312,572.616,27.432
15/05/2003,10.686,0.768,0.594,582.333,26.811
15/06/2003,17.472,0.711,0.359,776.996,20.909
15/07/2003,15.363,0.743,0.572,684.585,14.986
15/08/2003,17.554,0.713,0.347,674.413,10.944
15/09/2003,10.47,0.783,0.325,468.821,14.863
15/10/2003,3.495,0.799,0.931,265.422,50.372
15/11/2003,3.982,0.748,0.272,182.101,17.73
15/12/2003,-1.645,0.756,0.353,124.951,14.489
