Date;Abf. Stoffe [mg/l];Al filt. [µg/l];NH3-N [µg/l];NH4-N [mg/l];BSB5 (EN1899, ohne ATH) [mg/l];Ca filt. [mg/l];Chlorid [mg/l];Fe filt. [mg/l];LF (20 °C) vor Ort [µS/cm];DOC [mg/l];K filt. [mg/l];Mg filt. [mg/l];Mn filt. [mg/l];Na filt. [mg/l];NO3 [mg/l];NO3-N [mg/l];NO2-N [mg/l];pH-Wert (vor Ort) [-];o-PO4-P [mg/l];P-ges. [mg/l];P-ges. filt. [mg/l];O2-gelöst [mg/l];SO4 [mg/l];KS 4,3 [mmol/l];TOC [mg/l];Wassertemp.(vor Ort) [°C]
1992-08-15;151.0;;;0.09;1.25;;7.0;;313.0;3.3;;;;;;1.05;;8.1;0.032;0.052;;8.2;17.0;3.4;;15.85
1992-09-15;411.0;;;0.163;2.6;;6.667;;300.667;2.9;;;;;;1.1;;7.967;0.027;0.08;;8.9;14.333;3.2;;11.9
1992-10-15;52.5;;;0.11;1.0;;6.5;;340.0;2.15;;;;;;0.8;;8.0;0.019;0.034;;10.55;19.5;3.6;;8.1
1992-11-15;17.5;;;0.065;1.35;;4.5;;283.5;3.55;;;;;;0.8;;8.2;0.026;0.083;;11.05;9.0;3.15;;5.45
1992-12-15;8.5;;;0.14;1.7;;7.0;;360.5;2.2;;;;;;0.9;;7.5;0.017;0.028;;12.15;22.5;3.75;;4.45
1993-01-15;10.0;;;0.42;1.85;;8.0;;366.0;1.8;;;;;;0.95;;8.2;0.014;0.03;;12.9;22.5;3.85;;4.4
1993-02-15;8.5;;;0.35;1.55;;8.0;;375.5;1.9;;;;;;0.95;;7.7;0.013;0.025;;11.6;20.0;3.75;;2.95
1993-03-15;8.5;;;0.29;2.233;;13.667;;375.333;2.667;;;;;;1.167;;8.2;0.014;0.029;;12.2;19.667;3.733;;3.5
1993-04-15;13.0;;;0.195;1.65;;6.0;;284.0;1.35;;;;;;0.75;;8.2;0.01;0.038;;11.15;13.0;2.9;;6.65
1993-05-15;26.0;;;0.12;1.9;;4.5;;248.5;1.5;;;;;;0.6;;8.05;0.012;0.028;;10.45;16.5;2.55;;9.75
1993-06-15;46.0;;;0.07;1.5;;5.0;;267.5;2.85;;;;;;0.65;;8.2;0.02;0.082;;11.55;9.5;2.84;;11.35
1993-07-15;21.0;;;0.04;1.25;;3.5;;291.0;2.25;;;;;;0.65;;8.25;0.012;0.052;;10.3;14.5;3.335;;10.15
1993-08-15;13.0;;;0.063;1.0;;4.667;;332.0;1.733;;;;;;0.8;;8.2;0.014;0.034;;9.633;17.0;3.647;;12.4
1993-09-15;3.0;;;0.105;< BG;;4.0;;331.0;1.8;;;;;;0.7;;8.2;0.019;0.027;;9.9;18.0;3.625;;10.1
1993-10-15;29.0;;;0.13;4.5;;4.0;;335.0;4.7;;;;;;0.75;;8.15;0.04;0.12;;10.9;18.0;3.915;;8.15
1993-11-15;3.0;;;0.135;1.1;;9.5;;365.0;1.7;;;;;;0.85;;8.2;0.01;0.02;;11.55;22.5;4.215;;4.25
1993-12-15;525.5;;;0.24;2.8;;11.0;;296.5;6.35;;;;;;0.95;;8.15;0.03;0.252;;12.4;11.5;4.235;;3.75
1994-01-15;5.5;;;0.22;1.5;;12.667;;374.0;;;;;;;0.867;;8.167;0.032;0.047;;12.467;17.333;4.243;2.533;2.733
1994-02-15;8.0;;;0.61;1.9;;11.0;;400.0;;;;;;;0.9;;8.3;0.016;0.029;;13.6;26.0;4.46;2.4;0.3
1994-03-15;15.0;;;0.173;1.5;;7.333;;311.0;;;;;;;0.767;;8.067;0.019;0.045;;11.7;15.0;3.61;3.1;4.9
