YY MM DD HH 11502 10304 20203
1980 2 25 21 43.68094 33.37369 22.65675
1980 2 26 0 43.93916 33.15046 22.58782
1980 2 26 3 44.15653 32.91663 22.52812
1980 2 26 6 43.98992 32.6505 22.46335
1980 2 26 9 43.779 32.39141 22.40892
1980 2 26 12 43.38136 32.13865 22.35808
1980 2 26 15 42.93136 32.05155 22.3028
1980 2 26 18 42.49632 31.98906 22.24083
1980 2 26 21 42.29901 31.85656 22.1845
1980 2 27 0 42.47026 31.68177 22.1207
1980 2 27 3 42.53374 31.49122 22.057
1980 2 27 6 42.37509 31.27197 21.99436
1980 2 27 9 42.23736 31.04811 21.9399
1980 2 27 12 41.99268 30.81945 21.89379
1980 2 27 15 41.68372 30.66203 21.8404
1980 2 27 18 41.35308 30.55623 21.79348
1980 2 27 21 41.34781 30.40884 21.74976
1980 2 28 0 41.82443 30.25521 21.69911
1980 2 28 3 42.06466 30.09042 21.65133
1980 2 28 6 41.90266 29.91952 21.6108
1980 2 28 9 41.79608 29.74236 21.57579
1980 2 28 12 41.44669 29.55929 21.54288
1980 2 28 15 41.01952 29.40371 21.51072
1980 2 28 18 40.63537 29.27567 21.4809
1980 2 28 21 40.34854 29.13113 21.44977
1980 2 29 0 40.17267 28.99275 21.41617
1980 2 29 3 40.0123 28.85221 21.38218
1980 2 29 6 39.89016 28.71659 21.35253
1980 2 29 9 39.76854 28.57568 21.32774
1980 2 29 12 39.64962 28.43529 21.30056
1980 2 29 15 39.53592 28.29978 21.27628
1980 2 29 18 39.40866 28.1781 21.25953
1980 2 29 21 39.27249 28.05189 21.23543
1980 3 1 0 39.16741 27.9298 21.22041
1980 3 1 3 39.06558 27.80508 21.21099
1980 3 1 6 38.97472 27.68199 21.1875
1980 3 1 9 38.87702 27.56698 21.17852
1980 3 1 12 38.78047 27.48008 21.15842
1980 3 1 15 38.65788 27.50678 21.13898
1980 3 1 18 38.47681 27.49959 21.15135
1980 3 1 21 38.60719 27.39077 21.15712
1980 3 2 0 39.14851 27.27331 21.16063
1980 3 2 3 39.31912 27.15762 21.15134
1980 3 2 6 39.16011 27.03788 21.14178
1980 3 2 9 39.02709 26.90755 21.11821
1980 3 2 12 38.68391 26.80752 21.08939
1980 3 2 15 38.32167 26.79057 21.05525
1980 3 2 18 38.04768 26.75744 21.02842
1980 3 2 21 37.96104 26.65342 20.98772
1980 3 3 0 38.11705 26.52482 20.94896
1980 3 3 3 38.11475 26.40336 20.90788
1980 3 3 6 38.00987 26.28566 20.87063
1980 3 3 9 37.8967 26.1631 20.84239
1980 3 3 12 37.64134 26.04225 20.80456
1980 3 3 15 37.37786 25.92653 20.77094
1980 3 3 18 37.20743 25.81365 20.73851
1980 3 3 21 37.05568 25.70493 20.71699
1980 3 4 0 36.90909 25.59608 20.68068
1980 3 4 3 36.77697 25.48957 20.64617
1980 3 4 6 36.66655 25.38544 20.62351
1980 3 4 9 36.5602 25.28411 20.59746
1980 3 4 12 36.46204 25.18643 20.5801
1980 3 4 15 36.36389 25.09105 20.55675
1980 3 4 18 36.26925 24.99372 20.53545
1980 3 4 21 36.17382 24.89805 20.51609
1980 3 5 0 36.08862 24.80345 20.48901
1980 3 5 3 35.99339 24.70452 20.4649
1980 3 5 6 35.90868 24.61786 20.44267
1980 3 5 9 35.83642 24.52739 20.41706
1980 3 5 12 35.7139 24.50405 20.39486
1980 3 5 15 35.66928 24.5309 20.36626
1980 3 5 18 35.58278 24.48884 20.34406
1980 3 5 21 35.61357 24.40467 20.31865
1980 3 6 0 35.65406 24.31648 20.29077
1980 3 6 3 35.59872 24.23458 20.26332
1980 3 6 6 35.47388 24.15637 20.23052
1980 3 6 9 35.35648 24.04875 20.1981
1980 3 6 12 35.23033 23.93234 20.16787
1980 3 6 15 35.08269 23.83886 20.14299
1980 3 6 18 35.09052 23.79118 20.135
1980 3 6 21 35.23662 23.70331 20.17887
1980 3 7 0 35.42641 23.60737 20.36129
1980 3 7 3 35.43629 23.51149 20.60857
1980 3 7 6 35.26882 23.42675 20.92912
1980 3 7 9 35.04976 23.34756 21.26883
1980 3 7 12 34.80728 23.28757 21.65475
1980 3 7 15 34.65153 23.31626 22.08255
1980 3 7 18 34.80725 23.54931 22.58552
1980 3 7 21 35.15194 23.55267 23.02137
1980 3 8 0 35.33418 23.48889 23.33138
1980 3 8 3 35.25779 23.38469 23.51936
1980 3 8 6 35.03486 23.26709 23.60944
1980 3 8 9 34.73184 23.1387 23.62467
1980 3 8 12 34.44902 23.13566 23.5709
1980 3 8 15 34.29105 23.26843 23.46835
1980 3 8 18 35.81068 23.32292 23.34483
1980 3 8 21 37.14667 23.21972 23.21804
1980 3 9 0 37.58254 23.08542 23.08151
1980 3 9 3 37.42335 22.95496 22.94704
1980 3 9 6 36.84056 22.83266 22.81997
1980 3 9 9 36.04472 22.69536 22.706
1980 3 9 12 35.34442 22.56275 22.59068
1980 3 9 15 34.64595 22.43784 22.47116
1980 3 9 18 34.21196 22.34826 22.36214
